Name,Gender,Age,Country,NOC,Year,City,Sport,Event,Medal
Mohamed Abdullah Salim Al-Houti,M,28.0,Oman,OMA,2000,Sydney,Athletics,Athletics Men's 200 metres,None
Mohamed Abdullah Salim Al-Houti,M,28.0,Oman,OMA,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,None
Nawaf Al-Humaidan,M,19.0,Kuwait,KUW,2000,Sydney,Football,Football Men's Football,None
Ahmed H. Al-Imam,M,18.0,Qatar,QAT,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,None
Ali Saleh Al-Jadani,M,23.0,Saudi Arabia,KSA,2000,Sydney,Athletics,Athletics Men's Javelin Throw,None
Mohamed Ayed Al-Kafraini,M,25.0,Jordan,JOR,2000,Sydney,Athletics,Athletics Men's 800 metres,None
Esam Al-Kandari,M,29.0,Kuwait,KUW,2000,Sydney,Football,Football Men's Football,None
Basheer Mohamed Al-Khewani,M,18.0,Yemen,YEM,2000,Sydney,Athletics,Athletics Men's 400 metres,None
Ahmed Al-Kudmani,M,21.0,Saudi Arabia,KSA,2000,Sydney,Swimming,Swimming Men's 100 metres Breaststroke,None
Khalid Al-Kulaibi,M,14.0,Oman,OMA,2000,Sydney,Swimming,Swimming Men's 50 metres Freestyle,None
Mufid Saleh Krim Al-Lawanseh,M,30.0,Jordan,JOR,2000,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",None
Faisal Al-Mahmeed,M,16.0,Kuwait,KUW,2000,Sydney,Swimming,Swimming Men's 100 metres Backstroke,None
Ahmed bin Hasher Al-Maktoum,M,36.0,United Arab Emirates,UAE,2000,Sydney,Shooting,Shooting Men's Trap,None
Ahmed bin Hasher Al-Maktoum,M,36.0,United Arab Emirates,UAE,2000,Sydney,Shooting,Shooting Men's Double Trap,None
Saeed bin Hasher Al-Maktoum,M,23.0,United Arab Emirates,UAE,2000,Sydney,Shooting,Shooting Men's Skeet,None
Ayoub Al-Mas,M,21.0,United Arab Emirates,UAE,2000,Sydney,Swimming,Swimming Men's 50 metres Freestyle,None
Mohamed Said Al-Maskary,M,26.0,Oman,OMA,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,None
Khaled Al-Mudhaf,M,22.0,Kuwait,KUW,2000,Sydney,Shooting,Shooting Men's Trap,None
Khalaf Al-Mutairi,M,21.0,Kuwait,KUW,2000,Sydney,Football,Football Men's Football,None
Mashfi Al-Mutairi,M,27.0,Kuwait,KUW,2000,Sydney,Shooting,Shooting Men's Double Trap,None
Sayed Al-Mutairi Bariq,M,31.0,Saudi Arabia,KSA,2000,Sydney,Shooting,Shooting Men's Skeet,None
Tatiana Al-Najar,F,33.0,Jordan,JOR,2000,Sydney,Table Tennis,Table Tennis Women's Singles,None
Ali Khamis Rashid Al-Neyadi,M,22.0,United Arab Emirates,UAE,2000,Sydney,Athletics,Athletics Men's 200 metres,None
Gohar Mohamed Gohar Al-Nil,M,27.0,Egypt,EGY,2000,Sydney,Handball,Handball Men's Handball,None
Abdul Rahman Sultan Al-Nubi Faraj,M,20.0,Qatar,QAT,2000,Sydney,Athletics,Athletics Men's Long Jump,None
Mubarak Sultan Al-Nubi Faraj,M,22.0,Qatar,QAT,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,None
Naser Al-Omran,M,23.0,Kuwait,KUW,2000,Sydney,Football,Football Men's Football,None
Sultan A. B. S. S. Al-Otaibi,M,30.0,Kuwait,KUW,2000,Sydney,Swimming,Swimming Men's 200 metres Individual Medley,None
Naser Al-Othman,M,23.0,Kuwait,KUW,2000,Sydney,Football,Football Men's Football,None
Hilal Al-Rasheedi,M,37.0,Oman,OMA,2000,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",None
Hilal Al-Rasheedi,M,37.0,Oman,OMA,2000,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",None
Abdullah Al-Rashidi,M,37.0,Kuwait,KUW,2000,Sydney,Shooting,Shooting Men's Skeet,None
Hussain Taher Al-Sabee,M,20.0,Saudi Arabia,KSA,2000,Sydney,Athletics,Athletics Men's Long Jump,None
